time,x,y,theta_rad,ps0,ps7,ps5,ps2,ps1,ps3,ps4,ps6,z_k_raw,d_k_kalman,estado
3.84,-0.0041,-0.0978,-1.7553,65.12775001582355,67.11398541679762,63.09023132364535,177.10194164561585,113.35820492585674,70.39318038670375,72.13133040103295,64.27585723010651,66.12,67.16,EVADIENDO_IZQ
3.872,-0.0041,-0.0979,-1.6934,62.221170499832084,67.79369786256679,67.48268803516018,199.75384875081699,115.31079122302397,70.00391340674945,66.33750493867463,70.04325021392702,65.01,67.0,EVADIENDO_IZQ
3.904,-0.0041,-0.0979,-1.634,68.57198649158245,66.51834581092753,68.79172104187823,217.08809778104612,113.19147754533928,57.34819951654914,61.810544856838725,67.66649652541633,67.55,67.04,EVADIENDO_IZQ
3.936,-0.0041,-0.0978,-1.5721,62.741357078252506,62.78878000035506,66.85505135259895,219.76419474283168,117.00131958260108,64.42326256335467,64.39739073218738,69.23691376853601,62.77,66.7,EVADIENDO_IZQ
3.968,-0.0041,-0.0978,-1.5127,68.6541066967871,70.40164845726241,68.14613842037133,229.89676898068427,112.72319819970916,63.783676947056485,74.85972836392035,72.52122161535414,69.53,66.93,EVADIENDO_IZQ
4.0,-0.0041,-0.0978,-1.4533,63.61273271775925,60.416262485432235,62.068768550195976,216.10186506153667,120.54673149366523,66.0063135152754,67.45484931656928,58.37876417405093,62.01,66.54,EVADIENDO_IZQ
4.032,-0.0041,-0.0979,-1.3914,67.29429356598513,70.21798838476265,68.75419524840224,220.53091736479132,102.0111056507579,62.42954667021663,69.6132775947583,65.13631347826757,68.76,66.71,EVADIENDO_IZQ
4.064,-0.0041,-0.0978,-1.3295,69.15457076019166,63.5066894154129,70.15573778786478,224.1318451634926,99.08576668002219,66.10532352688894,62.50877737487683,67.83149521947152,66.33,66.68,EVADIENDO_IZQ
4.096,-0.0041,-0.0978,-1.2701,70.16092211464958,63.14294344815014,67.78446465572219,203.19762344540862,69.19443621767181,67.8131140091379,63.36441064753989,63.857773132485974,66.65,66.68,EVADIENDO_IZQ
4.128,-0.0041,-0.0978,-1.2107,64.33853481109279,67.24252521827722,64.93238440988519,186.56605956428828,74.67892704178037,73.49311315125638,64.29670730583739,67.42621589838764,65.79,66.61,EVADIENDO_IZQ
4.16,-0.004,-0.0979,-1.1488,69.94150085125264,64.64545533686356,72.71223516447702,152.98738821904792,71.05253446347115,88.25224435499162,66.65059447540636,66.16165942448372,67.29,66.66,EVADIENDO_IZQ
